Temp,do,ph,co,bod,year
29.8,5.7,7.2,189,2,2014
29.5,6.3,6.9,179,1.7,2014
29.7,5.8,6.9,64,3.8,2014
29.5,5.8,7.3,83,1.9,2014
30,5.5,7.4,81,1.5,2014
29.2,6.1,6.7,308,1.4,2014
29.6,6.4,6.7,414,1,2014
30,6.4,7.6,305,2.2,2014
30.1,6.3,7.6,77,2.3,2014
27.8,7.1,7.1,176,1.2,2014
27.9,6.7,6.4,93,1.4,2014
29.3,7.4,6.8,121,1.7,2014
29.2,6.9,7,620,1.1,2014
30,6,7.5,72,1.6,2014
29,7.3,7,247,1.5,2014
29.1,7.3,7,188,1,2014
28.7,7,6.9,224,1.2,2014
28.7,7.3,6.7,144,1.5,2014
29.5,5.3,6.8,319,1.8,2014
29,6.3,6.4,79,1.6,2014
29.4,5.4,7.6,39,1.4,2014
28.3,2.2,6.5,322,4.7,2014
30.1,5.2,7.1,192,2.6,2014
30.3,5.6,7.5,282,1.8,2014
30.5,5.5,7.4,275,1.5,2014
29.1,7.3,6.7,55,1.4,2014
30.1,6.5,7.5,415,2,2014
29.2,7.2,6.3,100,1.5,2014
25.1,6.6,7.8,95,4.9,2014
29.6,6.9,7.9,99,5,2014
27.4,6.8,7.7,85,5.2,2014
27.8,6.7,7.8,80,4.9,2014
30.6,5.1,7.3,3937,10.3,2014
25,5.6,7.9,468,3.6,2014
25,6.4,7.6,541,5.7,2014
25,5.5,7.4,6166,7.7,2014
25.3,5.3,7.7,24062,9.9,2014
25.1,6.7,7.6,83,4.8,2014
26.1,3.6,7.4,4424,31.3,2014
21.4,7.2,7.7,226,3.1,2014
27.4,5.9,7.4,268,6.4,2014
27.1,5.4,7.5,2413,7.4,2014
27.2,5.8,7.3,384,5.4,2014
27.3,5.9,7.4,269,5.1,2014
27,6,7.3,269,8.5,2014
27.2,6.1,7.3,196,6.1,2014
27,5.9,7.4,269,6.4,2014
22.6,6.3,7.8,223,4.6,2014
28.4,6.7,7.3,9293,3.5,2014
28,6.8,7.2,170,3.1,2014
27.6,6.8,7.3,4175,3.3,2014
27.9,6.9,7.3,4282,3.3,2014
28.1,6.9,7.3,5551,3.4,2014
27.1,6.8,7.9,5390,4.9,2014
27.6,6.6,8.1,161,4.6,2014
27.3,6.7,8,138,5,2014
27.8,6.7,7.8,81,4.9,2014
28,5.9,7.7,194,5.5,2014
28.1,6.3,7.6,186,4.6,2014
28.6,6.6,7.6,207,4.7,2014
